#{"t_start": 1686659210.0847418, "env_id": null}
r,l,t
1733.151733,10001,276.068646
1679.150146,10001,293.148507
1638.146606,10001,312.034315
1702.849121,10001,329.31848
1826.252075,10001,348.370276
1240.280029,10001,622.461397
1270.49231,10001,637.002375
1069.173828,10001,653.833203
1245.193604,10001,670.555422
1218.888062,10001,687.302244
1759.723511,10001,959.489821
1696.726929,10001,979.094953
1593.32605,10001,996.915704
1804.125244,10001,1014.760641
1707.127319,10001,1032.416651
1636.848877,10001,1305.29184
1839.953247,10001,1323.297036
1648.752441,10001,1341.530062
1589.654053,10001,1356.554936
1728.649414,10001,1374.816882
1633.828247,10001,1645.165017
1844.233521,10001,1662.967813
1797.433594,10001,1680.806029
1766.532837,10001,1698.674351
1756.532471,10001,1716.481273
1652.122192,10001,1986.348911
1586.224731,10001,2006.562403
1682.725708,10001,2024.795994
1662.32373,10001,2040.584145
1795.126587,10001,2058.528217
1137.700439,10001,2334.085861
1212.900513,10001,2350.095909
906.498901,10001,2369.679908
1029.898926,10001,2385.751261
955.998779,10001,2405.322876
1513.322998,10001,2673.648368
1513.925293,10001,2692.021121
1943.826904,10001,2713.023306
1623.72522,10001,2728.90496
1770.326294,10001,2747.107375
1714.2323,10001,3024.042332
1794.833984,10001,3039.689195
1698.631836,10001,3058.364379
1766.132812,10001,3077.114398
1788.63208,10001,3092.720158
1502.922119,10001,3365.647422
1512.823242,10001,3381.300447
1620.024292,10001,3401.146405
1701.124634,10001,3417.295383
1611.422974,10001,3436.604821
