#{"t_start": 1686676445.618553, "env_id": null}
r,l,t
372.159729,10001,263.914915
385.359467,10001,279.151311
384.058014,10001,294.208704
388.958862,10001,309.727957
384.758423,10001,324.879341
569.137329,10001,593.863539
570.826172,10001,608.886584
566.837524,10001,624.759113
561.924072,10001,639.822074
565.128052,10001,654.722656
1427.290283,10001,935.081332
1378.180664,10001,952.335673
1370.776978,10001,968.5416
1405.478516,10001,985.695552
1415.385254,10001,1002.433397
1601.125488,10001,1297.590423
1700.228027,10001,1314.698708
1806.432251,10001,1331.769246
1673.72998,10001,1348.923317
1658.627686,10001,1366.145207
1288.573853,10001,1668.074516
1393.379395,10001,1685.074938
1442.281494,10001,1702.20141
1382.07251,10001,1718.336307
1358.582153,10001,1735.459569
1695.626099,10001,2057.734951
1657.124756,10001,2075.711502
1612.126343,10001,2093.830386
1705.726318,10001,2110.71527
1778.826904,10001,2129.484105
1223.186768,10001,2449.399847
1218.078613,10001,2466.493584
1218.688843,10001,2481.144608
1212.887573,10001,2497.965656
1242.987549,10001,2514.909903
1430.681519,10001,2852.446297
1371.878662,10001,2869.536366
1456.481079,10001,2886.686446
1395.981201,10001,2903.993414
1350.583496,10001,2920.163453
1586.636963,10001,3263.245467
1757.137939,10001,3280.460973
1674.34082,10001,3297.630067
1692.242188,10001,3314.784481
1412.036743,10001,3332.033272
1714.325562,10001,3685.1416
1771.925415,10001,3703.169133
1792.025757,10001,3718.836959
1904.927368,10001,3736.666342
1593.024292,10001,3754.565819
