#{"t_start": 1684773039.6844873, "env_id": null}
r,l,t
201.096802,1501,175.348553
240.597015,1501,177.376499
182.69693,1501,179.430057
250.496796,1501,181.50043
219.496857,1501,183.298954
259.397095,1501,363.82361
225.696838,1501,365.581127
338.89682,1501,367.801516
234.69693,1501,369.579654
262.496918,1501,371.80568
217.69696,1501,548.763725
268.596802,1501,551.102568
279.297058,1501,552.899428
227.896912,1501,555.230151
263.096924,1501,557.015413
262.996338,1501,737.187103
243.79657,1501,739.736365
192.496368,1501,741.487133
313.396515,1501,743.232609
212.696411,1501,745.724799
250.396484,1501,925.853345
249.296387,1501,928.215744
210.996246,1501,929.978734
132.496643,1501,932.27632
187.396454,1501,934.040256
200.895935,1501,1112.655313
236.196777,1501,1115.107548
265.296295,1501,1116.882907
252.096222,1501,1119.327365
195.596313,1501,1121.101435
290.496552,1501,1298.914315
195.896271,1501,1300.675521
239.996063,1501,1302.432592
194.096283,1501,1304.964324
196.796265,1501,1306.727345
220.69635,1501,1486.372779
228.496307,1501,1488.084808
260.596283,1501,1489.816895
217.996124,1501,1491.541162
229.596313,1501,1494.476028
236.196442,1501,1673.732532
210.796722,1501,1675.483338
187.796082,1501,1678.456161
202.696167,1501,1680.183599
220.296448,1501,1681.928166
259.296387,1501,1860.859174
162.396545,1501,1863.49188
261.896637,1501,1865.295063
258.396088,1501,1867.992865
179.997009,1501,1869.779126
