#{"t_start": 1683643240.3161812, "env_id": null}
r,l,t
1.0,1501,28.241202
59.0,1501,30.646631
-101.0,1501,33.278452
5.0,1501,35.905432
45.0,1501,38.552367
25.0,1501,65.359418
-37.0,1501,67.763892
99.0,1501,70.38552
-87.0,1501,73.009578
27.0,1501,75.648077
88.0,1501,102.924435
105.0,1501,105.295075
99.0,1501,107.927978
109.0,1501,110.574202
136.0,1501,113.222342
147.0,1501,140.286781
176.0,1501,142.821181
138.0,1501,145.387972
145.0,1501,147.980801
245.0,1501,150.297496
184.0,1501,177.655644
210.0,1501,179.887916
193.0,1501,182.390821
178.0,1501,184.889763
204.0,1501,187.431211
211.0,1501,214.494278
182.0,1501,217.02941
205.0,1501,219.272304
311.0,1501,221.814945
204.0,1501,224.338135
241.0,1501,251.602893
252.0,1501,254.149534
269.0,1501,256.338549
264.0,1501,258.892018
281.0,1501,261.104287
301.0,1501,288.37864
208.0,1501,290.856727
244.0,1501,293.373465
229.0,1501,295.881727
283.0,1501,298.089896
257.0,1501,325.297903
308.0,1501,327.851631
308.0,1501,330.034977
306.0,1501,332.591774
244.0,1501,334.771128
267.0,1501,362.20019
260.0,1501,364.388579
242.0,1501,366.934262
264.0,1501,369.499104
165.0,1501,371.679461
