#{"t_start": 1684669906.460597, "env_id": null}
r,l,t
-7.0,1501,27.94311
-39.0,1501,30.765493
87.0,1501,33.210428
11.0,1501,36.028418
75.0,1501,38.8616
-7.0,1501,66.943776
15.0,1501,69.746963
-35.0,1501,72.536618
101.0,1501,74.97872
19.0,1501,77.734554
67.0,1501,106.189683
63.0,1501,108.638004
-45.0,1501,111.419748
11.0,1501,114.246273
59.0,1501,117.087425
241.501862,1501,145.201134
241.751892,1501,147.910688
288.651978,1501,150.624786
155.401978,1501,152.933201
140.851837,1501,155.600141
184.001923,1501,183.800449
169.901917,1501,186.514006
191.952301,1501,189.244229
203.651764,1501,191.569471
156.352203,1501,194.288417
237.60257,1501,222.498514
233.952362,1501,224.801813
218.55249,1501,227.489592
280.402313,1501,230.216799
231.902313,1501,232.508444
256.352783,1501,261.106587
266.452484,1501,263.478605
233.952515,1501,266.20553
142.002487,1501,268.475463
222.902618,1501,271.190881
212.352478,1501,299.183008
272.202698,1501,301.903263
260.902863,1501,304.201314
336.552582,1501,306.94805
253.252747,1501,309.244031
220.052795,1501,337.261237
204.052795,1501,340.017691
184.202698,1501,342.297032
267.152649,1501,345.044397
238.00293,1501,347.3271
172.252686,1501,375.34341
231.052521,1501,378.13588
244.202942,1501,380.394991
200.502747,1501,383.124141
182.10257,1501,385.873782
