#{"t_start": 1683670511.5076568, "env_id": null}
r,l,t
-89.0,1501,20.078017
-107.0,1501,22.423013
27.0,1501,24.408058
19.0,1501,26.787863
53.0,1501,29.274599
309.0,1501,48.837139
286.0,1501,51.019542
289.0,1501,52.8273
314.0,1501,54.959696
435.0,1501,57.125417
243.0,1501,79.142964
277.0,1501,81.250232
354.0,1501,83.397285
318.0,1501,85.205231
270.0,1501,87.325597
277.0,1501,109.325091
312.0,1501,112.318901
319.0,1501,114.963455
358.0,1501,117.166801
341.0,1501,118.992239
305.0,1501,140.656613
272.0,1501,142.475534
354.0,1501,144.655875
370.0,1501,146.890942
359.0,1501,148.736864
294.0,1501,168.851628
328.0,1501,171.038271
342.0,1501,173.263249
276.0,1501,175.071968
301.0,1501,177.250097
295.0,1501,197.810982
236.0,1501,199.626625
332.0,1501,201.847859
358.0,1501,204.097232
284.0,1501,205.930887
362.0,1501,226.47168
294.0,1501,228.700671
274.0,1501,230.945317
294.0,1501,232.788705
330.0,1501,235.025311
267.0,1501,258.065975
326.0,1501,260.294664
267.0,1501,262.549196
367.0,1501,264.379183
296.0,1501,266.649043
360.0,1501,287.032521
311.0,1501,289.365499
319.0,1501,291.248347
383.0,1501,293.499628
354.0,1501,295.796554
