#{"t_start": 1683676199.129257, "env_id": null}
r,l,t
-15.0,1501,24.215699
63.0,1501,26.218851
77.0,1501,28.748833
7.0,1501,30.760571
53.0,1501,32.768893
-97.0,1501,53.138584
-71.0,1501,55.673578
69.0,1501,57.675129
-57.0,1501,59.68537
179.0,1501,62.183493
89.0,1501,82.097056
37.0,1501,84.645576
-33.0,1501,86.722756
65.0,1501,89.392256
57.0,1501,91.474241
-19.0,1501,112.251514
79.0,1501,114.267706
55.0,1501,116.284393
15.0,1501,118.860046
27.0,1501,120.877687
153.0,1501,141.808628
-35.0,1501,143.848226
-67.0,1501,145.867264
-55.0,1501,148.425248
-125.0,1501,150.425725
-7.0,1501,172.87824
-11.0,1501,174.871765
-49.0,1501,177.470302
31.0,1501,179.463531
55.0,1501,181.464754
-23.0,1501,208.061352
63.0,1501,210.945667
77.0,1501,213.870641
-1.0,1501,217.426678
-45.0,1501,220.3905
0.0,1501,241.403268
0.0,1501,243.459032
0.0,1501,244.908999
0.0,1501,246.97145
0.0,1501,248.425909
0.0,1501,267.777872
0.0,1501,270.005587
0.0,1501,271.46706
0.0,1501,272.926081
0.0,1501,275.052187
0.0,1501,294.511458
0.0,1501,295.965939
0.0,1501,298.083659
0.0,1501,299.537107
0.0,1501,300.975407
