#{"t_start": 1683642603.2206576, "env_id": null}
r,l,t
0.0,1501,4.397365
0.0,1501,6.467069
0.0,1501,8.539963
0.0,1501,10.407225
0.0,1501,12.436455
57.0,1501,17.501365
5.0,1501,20.083927
-5.0,1501,22.66196
-11.0,1501,25.248953
5.0,1501,28.02977
53.0,1501,32.938028
-55.0,1501,35.520256
107.0,1501,38.093505
-33.0,1501,40.675453
45.0,1501,43.253501
-67.0,1501,48.321636
-15.0,1501,50.912662
-99.0,1501,53.526105
-11.0,1501,56.102903
205.0,1501,58.871776
27.0,1501,63.791908
71.0,1501,66.37335
53.0,1501,68.957274
-57.0,1501,71.541321
-9.0,1501,74.131166
-41.0,1501,79.267822
77.0,1501,81.874852
5.0,1501,84.463491
-15.0,1501,87.251626
-65.0,1501,89.679549
-35.0,1501,94.77861
79.0,1501,97.378513
-125.0,1501,99.987516
51.0,1501,102.597736
-11.0,1501,105.205891
21.0,1501,110.345091
-39.0,1501,112.96686
-149.0,1501,115.582957
-181.0,1501,118.213982
15.0,1501,120.836871
-5.0,1501,125.859833
9.0,1501,128.495533
23.0,1501,131.134525
29.0,1501,133.796124
121.0,1501,136.418263
111.0,1501,141.622075
-37.0,1501,144.288855
57.0,1501,146.91381
37.0,1501,149.569885
-21.0,1501,152.204142
