#{"t_start": 1683680451.5172975, "env_id": null}
r,l,t
23.0,1501,56.186552
33.0,1501,59.327406
-57.0,1501,61.327587
17.0,1501,63.33578
-49.0,1501,65.335146
11.0,1501,123.538471
-15.0,1501,125.523896
-45.0,1501,127.510776
-49.0,1501,130.64932
-73.0,1501,132.637024
-95.0,1501,193.031595
17.0,1501,196.240896
91.0,1501,198.231797
33.0,1501,200.222873
-19.0,1501,202.210235
9.0,1501,262.383207
87.0,1501,264.386728
39.0,1501,266.38504
29.0,1501,268.383803
93.0,1501,270.389046
65.0,1501,327.492218
-51.0,1501,329.469329
145.0,1501,331.446958
-27.0,1501,333.426753
43.0,1501,336.787543
173.0,1501,392.135793
217.0,1501,393.840417
191.0,1501,395.523839
106.0,1501,398.50405
186.0,1501,400.190102
307.0,1501,455.398209
224.0,1501,457.207239
317.0,1501,460.288543
241.0,1501,462.093247
252.0,1501,463.889703
298.0,1501,522.867694
201.0,1501,524.704677
326.0,1501,526.559507
127.0,1501,528.413114
262.0,1501,530.28792
221.0,1501,587.90078
297.0,1501,589.822679
262.0,1501,591.711006
279.0,1501,594.927799
371.0,1501,596.828925
225.0,1501,654.389181
277.0,1501,656.240839
380.0,1501,658.132251
197.0,1501,659.9912
308.0,1501,661.868917
