#{"t_start": 1684434314.1031244, "env_id": null}
r,l,t
131.25,1501,101.227764
66.25,1501,103.85406
82.25,1501,106.501196
120.25,1501,108.865258
98.75,1501,111.481402
165.0,1501,213.499999
238.75,1501,215.735816
236.75,1501,218.318903
223.25,1501,220.977193
220.0,1501,223.224243
198.75,1501,325.552189
165.75,1501,327.809912
146.75,1501,330.432552
209.75,1501,333.122171
209.25,1501,335.396723
171.0,1501,436.988393
161.0,1501,439.192446
125.5,1501,441.372823
141.5,1501,444.083074
211.75,1501,446.27609
123.25,1501,546.945301
207.25,1501,549.165828
207.75,1501,551.936169
151.75,1501,554.155578
166.25,1501,556.966092
155.75,1501,658.829275
189.75,1501,661.664448
210.0,1501,663.894478
193.25,1501,666.708571
134.5,1501,668.935872
180.75,1501,770.858289
127.25,1501,773.13072
254.0,1501,776.012236
190.25,1501,778.309054
160.5,1501,781.195499
294.5,1501,883.612781
194.25,1501,885.852703
202.5,1501,888.78794
188.0,1501,891.034066
229.75,1501,893.262119
179.25,1501,996.312
217.25,1501,999.272543
115.0,1501,1001.515196
138.25,1501,1003.774627
202.75,1501,1006.696614
162.25,1501,1107.88822
156.0,1501,1110.107582
202.5,1501,1112.336848
274.25,1501,1115.509491
109.5,1501,1117.725697
