#{"t_start": 1684071917.9850707, "env_id": null}
r,l,t
226.0,1501,161.810228
217.0,1501,164.307924
222.0,1501,166.830371
205.0,1501,169.315681
271.0,1501,171.838299
264.0,1501,333.426255
255.0,1501,336.111565
318.0,1501,338.537612
283.0,1501,341.182359
325.0,1501,343.822636
274.0,1501,505.577213
288.0,1501,507.860683
305.0,1501,510.488237
287.0,1501,513.126858
221.0,1501,515.385425
282.0,1501,672.227694
350.0,1501,675.011876
282.0,1501,677.307978
334.0,1501,680.098468
223.0,1501,682.375812
248.0,1501,841.479371
302.0,1501,844.316743
238.0,1501,846.617727
277.0,1501,849.426716
325.0,1501,851.761269
381.0,1501,1010.264359
352.0,1501,1012.610958
318.0,1501,1015.487038
297.0,1501,1017.842611
298.0,1501,1020.722124
369.0,1501,1178.924683
338.0,1501,1181.295144
272.0,1501,1184.226059
352.0,1501,1186.583125
267.0,1501,1189.529764
156.0,1501,1348.862259
218.0,1501,1351.293044
200.0,1501,1353.676771
138.0,1501,1356.085828
269.0,1501,1359.323913
339.0,1501,1520.232336
296.0,1501,1522.594522
269.0,1501,1525.788671
364.0,1501,1528.176346
285.0,1501,1530.521166
356.0,1501,1692.443944
342.0,1501,1694.84468
283.0,1501,1697.874739
292.0,1501,1700.269423
346.0,1501,1703.331419
