#{"t_start": 1687519511.4373848, "env_id": null}
r,l,t
1246.782959,10001,268.435255
1267.182495,10001,284.715988
1295.472534,10001,301.209657
1225.972778,10001,317.274963
1285.979492,10001,333.104701
1477.571533,10001,610.776777
1470.96875,10001,627.30299
1391.769531,10001,643.990856
1459.867554,10001,659.703927
1407.063354,10001,676.442003
1569.143433,10001,964.465523
1584.542114,10001,981.919801
1764.543823,10001,999.022865
1693.242188,10001,1016.327442
1677.240967,10001,1033.42426
1287.21167,10001,1337.705485
1395.210327,10001,1355.080025
1437.310791,10001,1370.667057
1246.710327,10001,1387.902135
1453.010376,10001,1405.135707
1617.644165,10001,1710.947612
1630.247192,10001,1728.365372
1638.143677,10001,1744.687107
1606.245972,10001,1761.911119
1789.251099,10001,1779.12317
1722.825684,10001,2101.633786
1631.825562,10001,2119.17524
1813.525391,10001,2136.713212
1747.023804,10001,2155.348249
1599.326294,10001,2171.994302
1599.859009,10001,2488.231227
1566.558228,10001,2505.268849
1527.653687,10001,2522.514858
1661.958862,10001,2537.307789
1593.156982,10001,2554.325202
1553.664795,10001,2883.837057
1509.160522,10001,2900.0629
1501.766357,10001,2917.191409
1496.359375,10001,2934.415588
1498.165527,10001,2951.625875
1650.839355,10001,3289.537377
1764.845337,10001,3306.681386
1542.738892,10001,3323.858033
1755.835938,10001,3341.15769
1639.636841,10001,3356.447433
1641.327148,10001,3719.188286
1599.42395,10001,3737.014
1654.424316,10001,3754.871118
1708.924194,10001,3770.420272
1708.625122,10001,3788.088621
