#{"t_start": 1686655768.1445842, "env_id": null}
r,l,t
1470.512817,10001,279.217479
1361.915161,10001,297.634195
1496.812866,10001,316.121745
1329.715576,10001,334.670689
1559.212646,10001,353.259268
1680.855347,10001,627.390365
1707.053101,10001,644.505825
1860.751587,10001,661.564256
1703.053833,10001,678.587415
1675.353271,10001,695.692365
1675.424683,10001,977.526692
1713.820435,10001,995.002384
1650.122437,10001,1013.439262
1576.722778,10001,1032.313498
1554.025513,10001,1051.090373
1750.450439,10001,1330.122632
1725.350342,10001,1347.765209
1703.151855,10001,1363.033728
1541.148438,10001,1380.461537
1512.5448,10001,1397.955617
1000.691772,10001,1661.953227
977.876221,10001,1678.239774
987.581787,10001,1694.446862
986.784912,10001,1712.381678
954.484009,10001,1728.681631
1433.15979,10001,1992.310406
1500.369385,10001,2009.374497
1501.36853,10001,2027.780172
1393.458862,10001,2044.659464
1528.065186,10001,2063.067957
1622.854248,10001,2328.027341
1686.459473,10001,2346.06525
1570.457031,10001,2360.917835
1661.557983,10001,2378.792177
1708.557373,10001,2396.933877
1690.348511,10001,2670.03597
1799.45166,10001,2687.129563
1654.55481,10001,2704.20584
1716.553345,10001,2721.156301
1671.952637,10001,2739.839561
1646.623657,10001,3018.217404
1767.021973,10001,3037.13811
1605.121094,10001,3053.620337
1654.620239,10001,3071.478307
1422.421021,10001,3089.445569
1631.35437,10001,3359.869841
1743.248535,10001,3374.915742
1768.753784,10001,3392.75109
1582.653076,10001,3407.749962
1613.753906,10001,3425.424806
