#{"t_start": 1684853597.6976888, "env_id": null}
r,l,t
218.196777,1501,263.015464
226.396606,1501,265.231595
234.496826,1501,269.163458
236.996918,1501,271.370538
228.396851,1501,273.588595
203.296448,1501,533.493775
240.496796,1501,535.718698
169.296722,1501,539.997077
123.096558,1501,542.176585
290.69696,1501,544.390134
219.396301,1501,803.062532
261.496155,1501,805.258065
248.796539,1501,807.424081
182.496643,1501,809.572188
231.096039,1501,811.712947
206.896271,1501,1067.134943
259.796417,1501,1069.316268
167.996674,1501,1071.468372
148.095795,1501,1073.600957
246.096222,1501,1075.75984
190.296143,1501,1326.636724
182.396271,1501,1328.818438
246.596405,1501,1331.040299
223.296295,1501,1333.216809
256.696564,1501,1337.355335
193.096252,1501,1586.369457
240.796509,1501,1588.582043
194.196136,1501,1590.758669
221.996552,1501,1592.971539
193.296661,1501,1595.17906
248.896484,1501,1842.847672
252.596283,1501,1845.048527
286.196289,1501,1849.345703
218.296417,1501,1851.506713
242.096436,1501,1853.708329
237.796509,1501,2097.699882
207.096222,1501,2099.874259
198.0961,1501,2102.040173
216.796082,1501,2104.196369
187.596649,1501,2108.932561
277.196289,1501,2352.775476
193.096344,1501,2354.958781
224.696655,1501,2357.137195
245.396637,1501,2359.337501
205.995972,1501,2361.531831
260.596344,1501,2606.554191
247.496338,1501,2608.78577
268.596497,1501,2613.220096
192.79599,1501,2615.418635
251.196625,1501,2617.64297
