#{"t_start": 1683285345.9224594, "env_id": null}
r,l,t
59.0,501,4.042439
38.0,516,4.86857
45.0,531,5.717299
7.0,547,6.746828
27.0,563,7.650451
22.0,580,10.940733
6.0,598,12.054421
-3.0,615,13.044846
10.0,634,14.212976
-19.0,653,15.256796
28.0,672,18.797972
31.0,693,19.922977
-23.0,713,21.224891
39.0,735,22.410585
-45.0,757,23.775307
53.0,779,27.351428
49.0,803,28.796876
19.0,827,30.133668
42.0,852,31.639026
41.0,877,33.234854
38.0,904,37.03044
-13.0,931,38.718831
-43.0,959,40.463253
65.0,987,42.039511
-121.0,1017,43.838576
-49.0,1047,48.050771
13.0,1079,49.776881
1.0,1111,51.702136
18.0,1144,53.721514
5.0,1179,55.817486
-26.0,1214,60.295625
-39.0,1251,62.482583
-66.0,1288,64.725251
-57.0,1327,67.034442
12.0,1366,69.231488
-61.0,1407,73.95894
42.0,1450,76.592192
55.0,1493,79.193547
-32.0,1538,81.855803
-26.0,1584,84.584121
60.0,1632,89.736268
-2.0,1680,92.649125
49.0,1731,95.668869
21.0,1783,98.788064
-2.0,1836,101.905098
-123.0,1891,107.473386
-40.0,1948,110.984984
0.0,2006,114.391516
23.0,2067,118.085856
33.0,2129,121.739833
