#{"t_start": 1683287330.9865935, "env_id": null}
r,l,t
-1.0,501,1.184738
-24.0,516,2.043737
11.0,531,2.934995
79.0,547,3.991707
-9.0,563,4.932828
0.0,580,6.253362
6.0,598,7.249993
25.0,615,8.440843
-44.0,634,9.496546
1.0,653,10.588944
38.0,672,12.045948
5.0,693,13.362742
-5.0,713,14.546461
33.0,735,15.940957
55.0,757,17.204771
11.0,779,18.868987
45.0,803,20.211285
37.0,827,21.746906
36.0,852,23.170578
15.0,877,24.778148
-28.0,904,26.644184
-7.0,931,28.184574
49.0,959,29.925335
17.0,987,31.739208
-17.0,1017,33.611968
