#{"t_start": 1684070946.1079533, "env_id": null}
r,l,t
31.0,1501,3.903792
-17.0,1501,6.434226
133.0,1501,8.96262
29.0,1501,11.484405
-21.0,1501,14.015656
-23.0,1501,17.005227
-65.0,1501,19.539429
-45.0,1501,22.06106
39.0,1501,24.755602
21.0,1501,27.302732
19.0,1501,30.151756
147.0,1501,32.722114
145.0,1501,35.30598
-31.0,1501,37.860403
117.0,1501,40.423697
0.0,1501,42.844491
0.0,1501,44.868745
0.0,1501,46.893839
0.0,1501,48.928612
0.0,1501,50.93243
0.0,1501,53.225581
0.0,1501,55.389943
0.0,1501,57.422858
0.0,1501,59.46889
0.0,1501,61.503388
63.0,1501,64.441561
17.0,1501,66.980834
-29.0,1501,69.547135
-109.0,1501,72.083786
31.0,1501,74.620869
59.0,1501,77.528434
-45.0,1501,80.205885
-157.0,1501,82.746559
23.0,1501,85.296674
25.0,1501,87.851216
97.0,1501,90.715756
23.0,1501,93.254065
63.0,1501,95.793224
-149.0,1501,98.327115
99.0,1501,100.84515
-3.0,1501,103.936104
35.0,1501,106.487464
71.0,1501,109.046224
-89.0,1501,111.598873
31.0,1501,114.191794
-21.0,1501,117.063213
17.0,1501,119.611098
-65.0,1501,122.152389
41.0,1501,124.703023
-31.0,1501,127.249369
