#{"t_start": 1684244180.7464, "env_id": null}
r,l,t
206.0,1501,52.196037
210.0,1501,54.776364
168.0,1501,57.443277
214.0,1501,60.094478
140.0,1501,62.398278
262.0,1501,114.526692
379.0,1501,116.816647
337.0,1501,119.324966
270.0,1501,121.83422
263.0,1501,124.351307
349.0,1501,176.170208
275.0,1501,178.660944
392.0,1501,181.207647
338.0,1501,183.418326
231.0,1501,185.889594
343.0,1501,237.669877
266.0,1501,240.197054
327.0,1501,242.407464
326.0,1501,244.90703
312.0,1501,247.426596
312.0,1501,298.784893
239.0,1501,301.346878
321.0,1501,303.5471
338.0,1501,306.088642
246.0,1501,308.621702
225.0,1501,360.352237
272.0,1501,362.554552
296.0,1501,365.049597
327.0,1501,367.615463
244.0,1501,370.147875
257.0,1501,422.037389
299.0,1501,424.227687
293.0,1501,426.860665
303.0,1501,429.061663
226.0,1501,431.726577
271.0,1501,483.769104
299.0,1501,486.434333
294.0,1501,488.640685
334.0,1501,491.326996
364.0,1501,493.553381
246.0,1501,546.493075
311.0,1501,549.137128
235.0,1501,551.805691
368.0,1501,554.077212
315.0,1501,556.774786
290.0,1501,609.829916
352.0,1501,612.619147
331.0,1501,614.888131
284.0,1501,617.73621
314.0,1501,619.992364
