#{"t_start": 1683677883.7911513, "env_id": null}
r,l,t
136.0,1501,40.518211
85.0,1501,42.173234
108.0,1501,44.542558
134.0,1501,46.183326
93.0,1501,47.812582
41.0,1501,85.652872
44.0,1501,87.145029
33.0,1501,88.625006
39.0,1501,90.883608
24.0,1501,92.374636
235.0,1501,129.769814
289.0,1501,131.566515
262.0,1501,134.164423
339.0,1501,135.96263
279.0,1501,137.739265
301.0,1501,175.727435
301.0,1501,177.549628
338.0,1501,180.162158
345.0,1501,181.974371
318.0,1501,183.80564
309.0,1501,223.393655
327.0,1501,226.086968
263.0,1501,227.879255
327.0,1501,229.692597
354.0,1501,232.411218
324.0,1501,276.873281
360.0,1501,279.522829
430.0,1501,283.043028
314.0,1501,285.722605
291.0,1501,287.747166
277.0,1501,327.072403
281.0,1501,330.220753
234.0,1501,332.805132
310.0,1501,335.434915
360.0,1501,338.06655
304.0,1501,385.039059
311.0,1501,386.851685
282.0,1501,388.664253
348.0,1501,391.482898
304.0,1501,393.293787
322.0,1501,432.174627
268.0,1501,433.996503
332.0,1501,436.729394
308.0,1501,438.556075
292.0,1501,440.373683
316.0,1501,479.538624
360.0,1501,481.357625
376.0,1501,483.179162
301.0,1501,486.015587
283.0,1501,487.815367
