#{"t_start": 1683677400.394469, "env_id": null}
r,l,t
176.0,1501,40.108808
214.0,1501,41.758363
191.0,1501,43.410291
238.0,1501,45.646724
191.0,1501,47.298655
16.0,1501,88.95212
18.0,1501,91.064459
24.0,1501,92.545525
16.0,1501,94.028587
28.0,1501,96.088433
226.0,1501,138.229872
318.0,1501,140.598768
278.0,1501,142.356062
296.0,1501,144.768387
300.0,1501,146.534781
270.0,1501,184.724712
283.0,1501,186.459523
283.0,1501,188.183493
277.0,1501,190.578407
277.0,1501,192.326948
270.0,1501,230.736866
260.0,1501,232.466806
278.0,1501,234.205379
329.0,1501,235.938709
239.0,1501,238.341905
327.0,1501,276.524064
280.0,1501,278.320813
343.0,1501,280.757601
295.0,1501,282.58832
231.0,1501,285.032836
289.0,1501,328.150605
295.0,1501,330.026849
300.0,1501,331.902758
272.0,1501,334.513087
270.0,1501,336.357151
291.0,1501,375.217979
223.0,1501,376.992798
252.0,1501,379.579119
272.0,1501,381.343602
292.0,1501,383.136361
280.0,1501,422.448789
386.0,1501,425.09761
268.0,1501,426.935734
286.0,1501,428.758756
250.0,1501,431.402259
359.0,1501,469.931039
317.0,1501,472.64018
287.0,1501,474.445048
309.0,1501,476.23023
448.0,1501,478.049782
