#{"t_start": 1683647817.707441, "env_id": null}
r,l,t
346.0,1501,77.444565
299.0,1501,79.7236
186.0,1501,82.599085
234.0,1501,84.874077
247.0,1501,87.788055
224.0,1501,164.849944
261.0,1501,167.018396
237.0,1501,169.814922
194.0,1501,171.96299
284.0,1501,174.126246
250.0,1501,252.160759
350.0,1501,255.015996
302.0,1501,257.167225
277.0,1501,260.034501
317.0,1501,262.214777
267.0,1501,340.614089
282.0,1501,342.841604
283.0,1501,345.075005
292.0,1501,347.989123
224.0,1501,350.178581
315.0,1501,427.908547
255.0,1501,430.877325
298.0,1501,433.082372
306.0,1501,435.241296
285.0,1501,438.196604
220.0,1501,515.604372
310.0,1501,518.687409
174.0,1501,520.963111
238.0,1501,523.237392
281.0,1501,526.30294
286.0,1501,604.455104
247.0,1501,606.631392
240.0,1501,608.788455
280.0,1501,611.753498
323.0,1501,613.919542
296.0,1501,691.431513
314.0,1501,694.452733
259.0,1501,696.634414
250.0,1501,698.830563
332.0,1501,701.882157
310.0,1501,779.744332
294.0,1501,782.811697
269.0,1501,785.044795
309.0,1501,787.272877
286.0,1501,790.316348
372.0,1501,867.955767
364.0,1501,871.15325
338.0,1501,873.398793
341.0,1501,875.628497
273.0,1501,877.840513
