#{"t_start": 1684158925.8850572, "env_id": null}
r,l,t
301.0,1501,102.68417
287.0,1501,105.458212
311.0,1501,107.719879
330.0,1501,110.445052
232.0,1501,113.179008
310.0,1501,215.912896
322.0,1501,218.159095
263.0,1501,220.934909
278.0,1501,223.157942
361.0,1501,225.940121
257.0,1501,328.37172
213.0,1501,330.531448
261.0,1501,333.188818
239.0,1501,335.303229
211.0,1501,337.954544
270.0,1501,440.591221
176.0,1501,443.339141
245.0,1501,445.447463
272.0,1501,448.27485
233.0,1501,450.382398
352.0,1501,554.04096
218.0,1501,556.971677
221.0,1501,559.185898
245.0,1501,562.147255
355.0,1501,564.386994
122.0,1501,667.003203
145.0,1501,669.797433
165.0,1501,671.84673
113.0,1501,673.899352
165.0,1501,676.640324
140.0,1501,776.233101
116.0,1501,778.286742
79.0,1501,780.289331
103.0,1501,783.047042
104.0,1501,785.061776
289.0,1501,887.197368
290.0,1501,890.288293
249.0,1501,892.488206
266.0,1501,894.700673
279.0,1501,897.760047
340.0,1501,1002.480939
250.0,1501,1004.784407
320.0,1501,1007.926533
333.0,1501,1010.239039
331.0,1501,1012.525157
321.0,1501,1117.149776
346.0,1501,1119.384169
330.0,1501,1122.663753
252.0,1501,1124.903469
312.0,1501,1127.102677
