#{"t_start": 1684075367.1286726, "env_id": null}
r,l,t
336.0,1501,155.089136
256.0,1501,157.307576
351.0,1501,160.604857
232.0,1501,162.830242
353.0,1501,165.087374
168.0,1501,320.074661
251.0,1501,323.253645
241.0,1501,325.374927
209.0,1501,327.480219
218.0,1501,330.637917
301.0,1501,485.007458
232.0,1501,488.354927
331.0,1501,490.544226
252.0,1501,492.734203
290.0,1501,496.095334
294.0,1501,651.351973
267.0,1501,653.556399
285.0,1501,655.756996
306.0,1501,659.184246
370.0,1501,661.418012
229.0,1501,816.108815
278.0,1501,818.254483
250.0,1501,820.376738
269.0,1501,823.833355
250.0,1501,825.971991
316.0,1501,978.066071
268.0,1501,981.596359
264.0,1501,983.792938
251.0,1501,985.973385
254.0,1501,988.160604
341.0,1501,1143.44102
241.0,1501,1145.610714
306.0,1501,1149.195609
279.0,1501,1151.358875
307.0,1501,1153.542937
290.0,1501,1310.182812
346.0,1501,1312.458193
301.0,1501,1314.679273
343.0,1501,1316.905853
303.0,1501,1320.765844
365.0,1501,1475.718926
278.0,1501,1477.979757
322.0,1501,1481.874705
286.0,1501,1484.144736
322.0,1501,1486.38485
207.0,1501,1640.895838
362.0,1501,1643.128714
376.0,1501,1646.797108
306.0,1501,1649.0276
336.0,1501,1651.25952
