#{"t_start": 1684080607.9187126, "env_id": null}
r,l,t
153.0,1501,153.374441
209.0,1501,156.576767
236.0,1501,158.725647
226.0,1501,160.84246
161.0,1501,164.05483
312.0,1501,316.814666
361.0,1501,319.09644
366.0,1501,321.366149
259.0,1501,324.731443
245.0,1501,326.994539
353.0,1501,479.298296
231.0,1501,482.74847
280.0,1501,484.962914
415.0,1501,487.224133
390.0,1501,489.47233
318.0,1501,642.617226
369.0,1501,646.147194
290.0,1501,648.369859
329.0,1501,650.618185
447.0,1501,652.888282
320.0,1501,807.204249
382.0,1501,809.472367
342.0,1501,813.16269
307.0,1501,815.405918
303.0,1501,817.643532
333.0,1501,971.737618
261.0,1501,973.990133
313.0,1501,976.229002
254.0,1501,978.45963
221.0,1501,982.093002
255.0,1501,1138.786315
172.0,1501,1141.103117
224.0,1501,1144.849243
235.0,1501,1147.173259
278.0,1501,1149.494925
330.0,1501,1300.822469
322.0,1501,1304.790031
328.0,1501,1307.012093
298.0,1501,1309.231633
296.0,1501,1311.464231
314.0,1501,1463.704613
349.0,1501,1467.665115
368.0,1501,1469.925788
330.0,1501,1472.200743
303.0,1501,1474.450799
305.0,1501,1626.156951
291.0,1501,1628.372222
246.0,1501,1632.064123
300.0,1501,1634.27791
268.0,1501,1636.502768
