#{"t_start": 1683718734.889597, "env_id": null}
r,l,t
266.0,1501,118.914504
262.0,1501,120.827594
335.0,1501,123.855177
337.0,1501,125.748829
302.0,1501,127.630356
259.0,1501,251.40673
296.0,1501,254.38648
283.0,1501,256.189772
293.0,1501,258.696667
291.0,1501,262.562765
271.0,1501,383.451985
191.0,1501,385.162374
233.0,1501,388.134595
217.0,1501,389.826656
243.0,1501,391.534814
291.0,1501,511.982094
242.0,1501,513.763007
244.0,1501,516.823921
299.0,1501,518.591736
270.0,1501,520.3496
284.0,1501,636.053283
291.0,1501,639.294854
341.0,1501,641.084934
350.0,1501,642.916821
311.0,1501,644.702747
291.0,1501,771.97788
275.0,1501,775.24214
257.0,1501,776.991449
288.0,1501,778.754419
269.0,1501,780.513584
312.0,1501,896.331307
295.0,1501,899.709768
418.0,1501,901.561675
310.0,1501,903.502771
302.0,1501,905.345936
318.0,1501,1019.946575
280.0,1501,1024.39317
309.0,1501,1026.205425
331.0,1501,1028.00982
341.0,1501,1029.802069
318.0,1501,1151.593263
238.0,1501,1153.414178
289.0,1501,1155.236747
280.0,1501,1157.055174
307.0,1501,1158.881761
293.0,1501,1277.319522
314.0,1501,1279.17347
360.0,1501,1281.117435
316.0,1501,1284.515755
304.0,1501,1286.338006
